하다, 98, 161
다다, 75, 147
파마, 78, 169
차다, 77, 164
하라, 51, 192
차다, 54, 152
사다, 61, 173
타아, 56, 151
아나, 53, 153
마파, 75, 160
라라, 93, 174
나카, 59, 198
나라, 83, 187
나카, 78, 167
자아, 72, 157
바파, 84, 140
사하, 70, 150
아파, 73, 179
하카, 71, 197
카하, 56, 187
차다, 54, 151
자타, 80, 180
자차, 83, 195
하사, 48, 175
타가, 53, 174
하바, 75, 188
바나, 52, 188
사가, 96, 188
바하, 49, 147
마자, 47, 183
차아, 84, 164
아가, 51, 199
타자, 51, 197
타차, 56, 197
사자, 56, 192
자가, 91, 161
다바, 56, 190
타바, 97, 156
카사, 77, 190
차사, 49, 141
사타, 61, 191
사사, 59, 170
나카, 41, 168
라카, 43, 158
가파, 58, 198
자차, 81, 177
바라, 48, 196
타나, 58, 175
마하, 99, 152
자아, 61, 142
파다, 75, 170
아사, 70, 163
다자, 89, 198
카타, 46, 182
라아, 81, 193
라마, 88, 157
자타, 58, 184
타자, 95, 175
타사, 97, 153
나다, 99, 181
라마, 43, 159
파아, 98, 180
다나, 65, 168
가마, 46, 192
차아, 51, 179
사차, 82, 150
마라, 63, 185
아마, 78, 177
아파, 87, 174
하나, 46, 185
차마, 89, 147
바가, 48, 140
타자, 48, 192
바나, 68, 152
차하, 83, 188
바하, 52, 162
바바, 80, 183
파파, 87, 169
카차, 91, 152
파바, 86, 163
나아, 88, 158
다나, 71, 171
아차, 47, 167
자타, 66, 172
카하, 84, 155
가사, 44, 197
바타, 66, 185
다다, 90, 177
하아, 51, 194
다가, 56, 184
하타, 71, 186
카마, 48, 158
라사, 97, 176
다자, 55, 150
나타, 53, 184
마마, 54, 159
파하, 77, 141
하사, 70, 164
카파, 99, 180
나나, 78, 153
차타, 87, 161
카파, 98, 162
가라, 56, 176
타하, 42, 167
마카, 59, 172
파자, 44, 185
자차, 50, 178
나파, 55, 160
마타, 94, 190
아타, 98, 153
가가, 47, 182
바마, 42, 179
바타, 99, 185
아카, 77, 147
바사, 52, 171
아아, 89, 142
사마, 54, 164
마나, 58, 196
바사, 46, 164
사다, 47, 171
다바, 97, 172
라가, 45, 191
나파, 70, 186
하가, 50, 192
파가, 49, 162
사사, 90, 187
라라, 78, 163
카바, 56, 144
아타, 72, 151
카아, 73, 142
차카, 96, 147
아가, 60, 179
카타, 55, 151
하차, 92, 193
다아, 65, 171
사하, 55, 192
하하, 48, 149
라바, 89, 194
하파, 82, 158
파바, 43, 188
아사, 78, 149
다사, 79, 163
바가, 45, 170
하다, 81, 189
사사, 94, 169
카파, 67, 147
파다, 96, 192
다라, 63, 144
자파, 57, 156
라사, 71, 148
라마, 90, 177
가사, 56, 143
파나, 79, 199
자타, 73, 177
자사, 83, 164
차차, 62, 153
카바, 79, 164
사타, 45, 159
바하, 96, 195
파나, 44, 174
바다, 50, 154
차다, 93, 185
카마, 47, 154
가나, 63, 191
파카, 58, 168
사타, 90, 145
파바, 74, 182
바바, 60, 187
사차, 88, 160
파마, 70, 192
가나, 47, 196
하가, 50, 183
나가, 85, 156
차사, 69, 197
차다, 46, 188
파차, 46, 140
차차, 66, 142
아아, 80, 170
카하, 85, 182
카마, 74, 199
가하, 88, 143
바바, 85, 150
바자, 93, 154
라자, 55, 177
가사, 45, 186
자나, 40, 149
바파, 95, 155
아나, 65, 153
아다, 53, 169
가라, 42, 195
가자, 45, 140
나카, 87, 145
파라, 98, 187
카아, 60, 180
사파, 88, 172
바바, 57, 171
마카, 40, 156
마하, 74, 156
파마, 42, 156
